filename,VehId,DayNum,Trip,Y_consumption_combustion_L_per_100km,Y_consumption_electric_kWh_per_km
Trip_459_VED_171101_week,488,4.70349884259,459,0.0,0.0
Trip_748_VED_171101_week,443,2.96692362962,748,0.0,0.0056365433641348
Trip_3672_VED_180627_week,157,241.848654139,3672,0.0,0.0
Trip_458_VED_171115_week,547,20.9103814815,458,0.0,0.0
Trip_850_VED_180131_week,445,92.9390852963,850,0.0,0.0
Trip_2395_VED_180502_week,10,189.850291759,2395,0.0,0.0
Trip_754_VED_180307_week,530,129.520880824,754,0.0,0.0
Trip_803_VED_171108_week,465,14.9396134444,803,0.0,0.0
Trip_1610_VED_180411_week,248,166.489819296,1610,0.0,0.0
Trip_716_VED_180801_week,608,276.836981426,716,0.0,0.0
Trip_1849_VED_181017_week,337,356.918152519,1849,0.0,0.0
Trip_638_VED_180103_week,548,64.9273349722,638,0.0,0.0
Trip_1273_VED_180502_week,167,189.659459898,1273,0.0,0.0
Trip_353_VED_180411_week,609,162.076534065,353,0.0,0.0
Trip_1573_VED_180328_week,272,148.92841713,1573,0.0,0.0
Trip_2809_VED_181010_week,492,346.466847593,2809,0.0,0.0
Trip_693_VED_171213_week,149,44.9966419907,693,0.0,0.0
Trip_2076_VED_180523_week,575,208.747631593,2076,0.0,0.0
Trip_1352_VED_180425_week,233,177.492260176,1352,0.0,0.0
Trip_1119_VED_180613_week,507,228.899342648,1119,0.0,0.0
Trip_1578_VED_180725_week,374,270.605086806,1578,0.0,0.0
Trip_1469_VED_180214_week,521,111.75188937,1469,0.0,0.0
Trip_1285_VED_180815_week,603,292.85609888,1285,0.0,0.0
Trip_544_VED_180905_week,504,314.59121688,544,0.0,0.0
Trip_1115_VED_171108_week,494,14.7250882963,1115,0.0,0.0
Trip_2298_VED_181017_week,455,352.727209769,2298,0.0,0.0
Trip_1464_VED_180926_week,507,331.919338259,1464,0.0,0.0
Trip_1485_VED_180404_week,375,156.648480417,1485,0.0,0.0
Trip_1241_VED_180620_week,480,235.869460815,1241,0.0,0.0
Trip_128_VED_171101_week,601,7.99223109259,128,0.0,0.0
Trip_927_VED_180523_week,237,206.847244157,927,0.0,0.0
Trip_1366_VED_180530_week,259,212.514829167,1366,0.0,0.0
Trip_1006_VED_171115_week,323,15.5147612222,1006,0.0,0.0
Trip_1946_VED_180829_week,156,303.769518759,1946,0.0,0.0
Trip_3316_VED_181017_week,575,354.814541667,3316,0.0,0.0
Trip_365_VED_171213_week,536,43.9284077593,365,10.594094815913117,0.0085168051538536
Trip_1670_VED_180131_week,449,95.8919359352,1670,0.0,0.0
Trip_2688_VED_180801_week,205,275.617229463,2688,0.0,0.0
Trip_535_VED_171122_week,162,22.9167962963,535,0.0,0.0
Trip_1779_VED_171108_week,359,12.7041466759,1779,0.0,0.0
Trip_1519_VED_180321_week,323,144.929861148,1519,0.0,0.0
Trip_2128_VED_180502_week,422,185.461099778,2128,0.0,0.0
Trip_508_VED_180328_week,560,150.912379574,508,0.0,0.0
Trip_768_VED_171220_week,440,52.7639248056,768,0.0,0.0
Trip_1586_VED_180411_week,276,165.514470389,1586,0.0,0.0
Trip_2005_VED_180110_week,185,71.8033331481,2005,0.0,0.0
Trip_1432_VED_171129_week,125,31.7149243426,1432,0.0,0.0
Trip_1600_VED_180530_week,273,212.928068343,1600,0.0,0.0
Trip_933_VED_171129_week,453,31.703726463,933,0.0,0.0
Trip_2949_VED_180905_week,575,311.774518907,2949,0.0,0.0
Trip_1350_VED_180110_week,209,74.8737908056,1350,0.0,0.0
Trip_3097_VED_180926_week,10,333.004445991,3097,0.0,0.0
Trip_1134_VED_180314_week,388,134.52069775,1134,0.0,0.0
Trip_1017_VED_171220_week,208,56.6024494444,1017,0.0,0.0
Trip_2079_VED_180516_week,324,203.693588148,2079,0.0,0.0
Trip_3735_VED_180822_week,371,295.753096009,3735,0.0,0.0
Trip_1628_VED_180321_week,444,143.022322222,1628,0.0,0.0
Trip_2139_VED_180606_week,550,223.05379187,2139,0.0,0.0
Trip_2878_VED_180711_week,478,254.498833019,2878,0.0,0.0
Trip_954_VED_171122_week,460,24.9145115926,954,0.0,0.0
Trip_1063_VED_171213_week,246,48.818994963,1063,0.0,0.0
Trip_2801_VED_181010_week,492,345.494290787,2801,0.0,0.0
Trip_2165_VED_180718_week,468,263.755303185,2165,0.0,0.0
Trip_1683_VED_180627_week,208,241.863811491,1683,0.0,0.0
Trip_1945_VED_180808_week,502,284.97375513,1945,0.0,0.0
Trip_890_VED_180307_week,546,127.699921611,890,0.0,0.0
Trip_1384_VED_180627_week,445,239.935532796,1384,0.0,0.0
Trip_1827_VED_180606_week,323,218.893700213,1827,0.0,0.0
Trip_1905_VED_180314_week,366,136.612259056,1905,0.0,0.0
Trip_2672_VED_180516_week,457,198.681764694,2672,18.9242966952435,0.1755782377020562
Trip_1533_VED_171101_week,155,4.90031393519,1533,0.0,0.0
Trip_659_VED_180815_week,609,288.384810278,659,0.0,0.0
Trip_1174_VED_180411_week,488,164.724574463,1174,0.0,0.0
Trip_1045_VED_180516_week,403,202.842449278,1045,0.0,0.0
Trip_368_VED_171220_week,489,53.7361526111,368,0.0,0.0
Trip_2016_VED_180131_week,371,95.8719166481,2016,0.0,0.0131233960937149
Trip_587_VED_180328_week,591,152.847418324,587,0.0,0.0
Trip_1286_VED_180207_week,468,105.637511222,1286,0.0,0.0
Trip_1609_VED_180131_week,231,95.7591240093,1609,0.0,0.0
Trip_784_VED_180314_week,482,135.539187519,784,0.0,0.0
Trip_538_VED_171115_week,488,20.641451,538,0.0,0.0
Trip_725_VED_180523_week,283,207.17833787,725,0.0,0.0
Trip_1309_VED_180207_week,115,99.4995438889,1309,0.0,0.0
Trip_1015_VED_180110_week,383,72.4927660556,1015,0.0,0.0
Trip_3201_VED_180725_week,11,269.950640102,3201,0.0,0.0
Trip_237_VED_171213_week,283,48.1613566852,237,0.0,0.0
Trip_597_VED_180502_week,12,188.017175704,597,0.0,0.0
Trip_1799_VED_181107_week,451,373.635500426,1799,0.0,0.0
Trip_920_VED_180214_week,385,109.824794481,920,0.0,0.0
Trip_2553_VED_180801_week,601,280.789602676,2553,0.0,0.0
Trip_602_VED_180103_week,562,68.4473419352,602,0.0,0.0
Trip_472_VED_171108_week,203,12.980538287,472,0.0,0.0
Trip_1090_VED_180411_week,304,166.842730546,1090,0.0,0.0
Trip_357_VED_180328_week,608,149.914780426,357,0.0,0.0
Trip_1269_VED_171227_week,218,61.6904626667,1269,0.0,0.0
Trip_1929_VED_181024_week,447,364.592302778,1929,0.0,0.0
Trip_2415_VED_180307_week,185,132.707558991,2415,0.0,0.0
Trip_739_VED_180606_week,283,218.762665565,739,0.0,0.0
Trip_391_VED_180214_week,607,111.892088204,391,0.0,0.0
Trip_825_VED_180418_week,251,172.690190241,825,0.0,0.0
Trip_1751_VED_181003_week,429,337.57455537,1751,0.0,0.0
Trip_554_VED_180117_week,407,81.7075370741,554,0.0,0.0
Trip_1705_VED_180523_week,269,208.738998093,1705,0.0,0.0
Trip_889_VED_171220_week,319,53.7500157593,889,0.0,0.0
Trip_1108_VED_171213_week,460,48.85157275,1108,0.0,0.0
Trip_667_VED_180110_week,507,74.4793895833,667,0.0,0.0
Trip_1525_VED_180912_week,606,320.633683278,1525,0.0,0.0
Trip_1180_VED_180214_week,130,108.662491037,1180,0.0,0.0
Trip_581_VED_171129_week,506,31.1259940833,581,0.0,0.0
Trip_1299_VED_181031_week,392,366.670789519,1299,0.0,0.0
Trip_1821_VED_180530_week,561,215.794308824,1821,0.0,0.0
Trip_1817_VED_180711_week,454,256.77860088,1817,0.0,0.0
Trip_778_VED_180314_week,530,139.696077139,778,0.0,0.0
Trip_675_VED_180411_week,564,165.892573009,675,0.0,0.0
Trip_655_VED_171115_week,223,19.7408982037,655,0.0,0.0
Trip_1257_VED_180207_week,465,104.974139352,1257,0.0,0.0
Trip_492_VED_171115_week,435,16.9381372315,492,0.0,0.0
Trip_592_VED_180124_week,372,86.9621016111,592,0.0,0.0
Trip_1253_VED_171101_week,200,7.80586721296,1253,0.0,0.0
Trip_766_VED_171220_week,557,51.9256877037,766,0.0,0.0
Trip_862_VED_180627_week,283,241.016288324,862,0.0,0.0
Trip_1256_VED_180328_week,456,151.897624778,1256,0.0,0.0
Trip_2701_VED_171122_week,116,24.649493537,2701,0.0,0.0
Trip_1334_VED_180411_week,374,163.836979407,1334,0.0,0.0
Trip_1322_VED_180829_week,145,305.030486991,1322,0.0,0.0
Trip_1321_VED_171227_week,292,60.6158229907,1321,0.0,0.0
Trip_3091_VED_180808_week,478,283.831276935,3091,0.0,0.0
Trip_5162_VED_180606_week,466,221.050568454,5162,0.0,0.0
Trip_338_VED_180103_week,600,64.7243797037,338,0.0,0.0
Trip_1961_VED_180509_week,575,194.806326556,1961,0.0,0.0
Trip_781_VED_180321_week,251,147.096927306,781,0.0,0.0
Trip_1023_VED_171213_week,443,47.9043135463,1023,0.0,0.0796114992717608
