filename,VehId,DayNum,Trip,Vehicle Type,Vehicle Class,Engine Configuration & Displacement,Transmission,Drive Wheels,Generalized_Weight,Absolute Load[%]_mean,Absolute Load[%]_median,Absolute Load[%]_std,Absolute Load[%]_min,Absolute Load[%]_max,Absolute Load[%]_q25,Absolute Load[%]_q75,Absolute Load[%]_range,Air Conditioning Power[Watts]_mean,Air Conditioning Power[Watts]_median,Air Conditioning Power[Watts]_std,Air Conditioning Power[Watts]_min,Air Conditioning Power[Watts]_max,Air Conditioning Power[Watts]_q25,Air Conditioning Power[Watts]_q75,Air Conditioning Power[Watts]_range,Air Conditioning Power[kW]_mean,Air Conditioning Power[kW]_median,Air Conditioning Power[kW]_std,Air Conditioning Power[kW]_min,Air Conditioning Power[kW]_max,Air Conditioning Power[kW]_q25,Air Conditioning Power[kW]_q75,Air Conditioning Power[kW]_range,Engine RPM[RPM]_mean,Engine RPM[RPM]_median,Engine RPM[RPM]_std,Engine RPM[RPM]_min,Engine RPM[RPM]_max,Engine RPM[RPM]_q25,Engine RPM[RPM]_q75,Engine RPM[RPM]_range,Heater Power[Watts]_mean,Heater Power[Watts]_median,Heater Power[Watts]_std,Heater Power[Watts]_min,Heater Power[Watts]_max,Heater Power[Watts]_q25,Heater Power[Watts]_q75,Heater Power[Watts]_range,OAT[DegC]_mean,OAT[DegC]_median,OAT[DegC]_std,OAT[DegC]_min,OAT[DegC]_max,OAT[DegC]_q25,OAT[DegC]_q75,OAT[DegC]_range,Vehicle Speed[km/h]_mean,Vehicle Speed[km/h]_median,Vehicle Speed[km/h]_std,Vehicle Speed[km/h]_min,Vehicle Speed[km/h]_max,Vehicle Speed[km/h]_q25,Vehicle Speed[km/h]_q75,Vehicle Speed[km/h]_range,Vehicle_Class_encoded,Transmission_encoded,VehicleType_EV,VehicleType_HEV,VehicleType_ICE,VehicleType_PHEV,DriveWheels_FWD,Y_consumption_combustion_L_per_100km,Y_consumption_electric_kWh_per_km
Trip_112_VED_171129_week,560,32.6184801019,112,PHEV,Car,4-GAS/ELECTRIC 1.8L,CVT,FWD,3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.7718348002708,919.0,931.3233773162376,0.0,3342.0,0.0,1557.0,3342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4041976980365605,3.0,0.4909023094467692,3.0,4.0,3.0,4.0,1.0,39.279620853080566,41.0,20.28876089923532,0.0,69.0,24.0,58.0,69.0,0,14,False,False,False,True,True,5.108119408949772,0.0008550226463551
Trip_2217_VED_180912_week,431,322.613088352,2217,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973.320235756385,2040.0,146.1460914373773,1520.0,2080.0,1960.0,2040.0,560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.3064833005894,277.0,1091.1283337378586,0.0,3282.0,0.0,2127.5,3282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.93835952848723,27.0,0.5983175036834011,26.0,28.25,26.5,27.25,2.25,31.376197732503407,31.63999843595,22.27564088960036,0.0,68.4300003052,10.0399999619,52.5299987793,68.4300003052,0,14,False,False,False,True,True,9.523606227576469,0.0301375521373662
Trip_868_VED_171115_week,453,21.5554791111,868,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666667,0.0,94.44501377615283,0.0,200.0,0.0,200.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3368055555555556,1.25,0.1192289559677249,1.25,1.5,1.25,1.5,0.25,62.63801936308861,64.1749992371,19.420948915372968,7.02999973297,88.0699996948,55.4424982071,80.297500610375,81.03999996183,0,14,False,False,False,True,True,0.4521224605510928,0.2452158080477195
Trip_1882_VED_180613_week,561,226.791351907,1882,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.31112334801762,24.5,0.2418258686660609,23.75,24.5,24.0625,24.5,0.75,47.21691524061952,54.054998397800006,20.392631456909456,0.0,71.2799987793,34.5200004578,64.0999984741,71.2799987793,0,14,False,False,False,True,True,0.5149236889898463,0.1356805573481396
Trip_2420_VED_180321_week,371,146.60581987,2420,PHEV,Car,4-GAS/ELECTRIC 2.0L,CVT,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.2606310013717,0.0,907.3522603079056,0.0,2398.0,0.0,1760.0,2398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.556241426611797,1.5,0.3646824252736297,1.25,2.25,1.25,1.75,1.0,50.70931293701758,55.25,18.45085826114578,0.0,74.5100021362,40.6399993896,65.1199951172,74.5100021362,0,14,False,False,False,True,True,4.439333993265971,0.0081709811263765
Trip_2955_VED_181031_week,492,366.492152889,2955,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0323559131371486,0.0,0.0736869546514942,0.0,0.199999988079,0.0,0.0,0.199999988079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.6268958543983,3500.0,822.9496736181803,3100.0,6500.0,3300.0,3700.0,3400.0,3.80535894843276,4.0,0.5063179754666769,2.5,4.5,4.0,4.0,2.0,36.0409346562184,37.625,20.92196711911276,0.0,73.734375,21.296875,53.484375,73.734375,0,18,False,False,False,True,True,0.0,0.2087887939741339
Trip_1672_VED_180905_week,554,313.616835593,1672,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3724865367389774,0.359999984503,0.0597620646855209,0.280000001192,0.599999964237,0.319999992847,0.439999997616,0.3199999630449999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.058127018299245,19.0,0.3171824046420032,18.5,19.5,19.0,19.5,1.0,42.72315662002153,48.109375,20.139329088985505,0.0,72.84375,29.109375,58.6875,72.84375,0,18,False,False,False,True,True,0.0,0.1511904414378788
Trip_2479_VED_180808_week,492,287.864814815,2479,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5103067362599929,0.479999989271,0.1275070332159603,0.399999976158,0.759999990463,0.439999997616,0.479999989271,0.360000014305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.45705521472393,28.5,0.3013044295756176,28.0,29.0,28.5,28.5,1.0,40.15409317484663,40.5625,25.48420925331077,0.0,91.65625,21.0390625,60.0234375,91.65625,0,18,False,False,False,True,True,0.0,0.1439810166029755
Trip_3405_VED_180808_week,457,285.690106796,3405,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.090717299578059,0.0,0.2873582699848891,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0253164556962,0.0,178.84532671990974,0.0,900.0,0.0,0.0,900.0,26.34651898734177,26.5,0.2307384789739823,26.0,26.5,26.0,26.5,0.5,32.07172995780591,29.8125,26.96127552166212,0.0,74.078125,4.046875,59.15625,74.078125,0,18,False,False,False,True,True,0.0,0.1592143317088053
Trip_3449_VED_180815_week,457,292.036848009,3449,PHEV,Car,4-GAS/ELECTRIC 1.4L,NO DATA,FWD,4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5007407334114073,0.560000002384,0.0775042145980573,0.399999976158,0.560000002384,0.399999976158,0.560000002384,0.160000026226,1680.2716049382716,1884.0,726.7696502540041,0.0,2505.0,1843.0,1966.25,2505.0,900.0,900.0,0.0,900.0,900.0,900.0,900.0,0.0,24.0,24.0,0.0,24.0,24.0,24.0,24.0,0.0,66.57089120370371,72.828125,12.60134986900172,19.65625,75.15625,65.125,74.19140625,55.5,0,18,False,False,False,True,True,7.757329358251917,0.0049083630013693
